,title,date,console
0,J4G - A Girl's World,2009,DS
1,Jackass: The Game,2008,DS
2,Jacqueline Wilson's Tracy Beaker: The Game,2010,DS
3,Jagged Alliance DS,2008,DS
4,Jaka Jaka Music!,2010,DS
5,Jake Hunter Detective Story: Memories of the Past,2007,DS
6,Jake Hunter: Detective Chronicles,2007,DS
7,Jake Power: Firefighter,2008,DS
8,Jake Power: Handyman,2008,DS
9,Jake Power: Policeman,2008,DS
10,Jake Power: Soccer Star,2008,DS
11,Jam Sessions,2007,DS
12,Jam Sessions 2,2009,DS
13,Jam with the Band,2008,DS
14,Jambo! Safari: Animal Rescue,2009,DS
15,James Cameron's Avatar: The Game,2009,DS
16,James Bond 007: Blood Stone,2010,DS
17,James Patterson Women's Murder Club: Games of Passion,2009,DS
18,James Pond: RoboCod,2005,DS
19,Jan Sangoku Musou,2006,DS
20,Jane's Hotel,2010,DS
21,Jelly Belly: Ballistic Beans!,2009,DS
22,Jenga World Tour,2007,DS
23,Jeopardy!,2010,DS
24,Jet Impulse,2007,DS
25,Jetix Puzzle Buzzle,2008,DS
26,Jewel Adventures,2012,DS
27,Jewel Legends: Tree of Life,2011,DS
28,Jewel Link Chronicles: Mountains of Madness,2011,DS
29,Jewel Link: Arctic Quest,2013,DS
30,Jewel Link: Atlantic Quest,2012,DS
31,Jewel Link: Galactic Quest,2012,DS
32,Jewel Link: Legends of Atlantis,2012,DS
33,Jewel Link: Safari Quest,2013,DS
34,Jewel Master: Cradle of Athena,2010,DS
35,Jewel Master: Cradle of Egypt 2,2012,DS
36,Jewel Master: Cradle of Persia,2012,DS
37,Jewel Master: Cradle of Rome 2,2012,DS
38,Jewel Master: Egypt,2009,DS
39,Jewel Match,2011,DS
40,Jewel Match 2,2012,DS
41,Jewel Match 3,2012,DS
42,Jewel Pet: Kawaii Mahou no Fantasy,2009,DS
43,Jewel Pet: Mahou no DS Kirapi Kariin,2009,DS
44,Jewel Pet: Mahou no Oheyya de Issho ni Asobou!,2010,DS
45,Jewel Quest IV: Heritage,2011,DS
46,Jewel Quest Mysteries 2: Trail of the Midnight Heart,2011,DS
47,Jewel Quest Mysteries 3: The Seventh Gate,2012,DS
48,Jewel Quest Mysteries: Curse of the Emerald Tear,2010,DS
49,Jewel Quest Solitaire,2009,DS
50,Jewel Quest V: The Sleepless Star,2012,DS
51,Jewel Quest: Expeditions,2007,DS
52,Jewel Quest: Solitaire Trio,2011,DS
53,Jewel Time Deluxe,2011,DS
54,Jewels of the Ages,2011,DS
55,Jewels of the Tropical Lost Island,2010,DS
56,The Jidousha Kyoushuusho DS,2007,DS
57,Jig-a-Pix Love Is...,2010,DS
58,Jig-a-Pix Pets,2010,DS
59,Jig-a-Pix Wild World,2010,DS
60,Jig-a-Pix Wonderful World,2010,DS
61,Jigoku Shōjo Akekazura,2007,DS
62,Jigsaw Puzzle DS: DS de Meguru Sekai Isan no Tabi,2008,DS
63,Jigsaw World: Daigekitou! Jig-Battle Heroes,2008,DS
64,Jinsei Game,2009,DS
65,Jinsei Game DS,2006,DS
66,Jinsei Game Q DS: Heisei no Dekigoto,2007,DS
